x,y,stall_size,genre,performance
20,3,S,Fiction & Literature,better
-6,4,L,Business & Management,better
17,13,S,"Arts, Design & Photography",better
-7,7,L,Science & Technology,better
15,6,L,"Religion, Philosophy & Spirituality",non-better
-6,14,L,Fiction & Literature,better
-10,13,M,Fiction & Literature,better
-7,10,S,Business & Management,non-better
-14,11,M,Science & Technology,non-better
-18,14,L,Business & Management,non-better
-15,9,L,Science & Technology,non-better
16,6,L,Business & Management,better
-6,9,S,Educational & Academic,better
4,8,M,"Health, Wellness & Lifestyle",better
3,11,S,Fiction & Literature,better
18,5,L,Educational & Academic,better
9,12,M,"Religion, Philosophy & Spirituality",better
0,1,S,"Arts, Design & Photography",non-better
5,8,S,Educational & Academic,non-better
-7,15,M,Others,better
-4,4,S,"Religion, Philosophy & Spirituality",non-better
17,13,L,History & Culture,non-better
-6,4,L,Others,better
-17,3,S,Children & Young Adult,non-better
18,2,M,History & Culture,non-better
13,8,L,"Arts, Design & Photography",better
14,8,L,"Health, Wellness & Lifestyle",better
-2,13,S,Others,better
-4,5,L,Business & Management,non-better
20,6,S,"Health, Wellness & Lifestyle",better
14,0,L,"Health, Wellness & Lifestyle",non-better
-19,3,M,Fiction & Literature,better
-17,7,L,Business & Management,better
11,2,L,Children & Young Adult,better
10,5,M,"Religion, Philosophy & Spirituality",non-better
-7,6,L,Fiction & Literature,non-better
3,14,L,Others,better
-5,7,S,"Health, Wellness & Lifestyle",better
17,7,L,Educational & Academic,better
-16,1,S,Business & Management,better
1,2,L,Educational & Academic,non-better
11,6,L,Children & Young Adult,non-better
-5,15,M,Educational & Academic,better
-14,13,M,History & Culture,non-better
9,1,L,Business & Management,better
5,10,S,Educational & Academic,better
-8,14,S,History & Culture,better
-3,14,S,Business & Management,non-better
15,3,S,"Religion, Philosophy & Spirituality",better
-15,7,S,History & Culture,non-better
10,6,M,"Arts, Design & Photography",better
4,0,M,Fiction & Literature,non-better
-2,13,L,"Religion, Philosophy & Spirituality",non-better
-11,6,M,Educational & Academic,better
17,1,L,"Health, Wellness & Lifestyle",better
-17,15,L,"Religion, Philosophy & Spirituality",better
-17,2,S,Business & Management,better
-5,12,S,Science & Technology,better
17,1,L,Business & Management,non-better
17,10,M,Educational & Academic,non-better
-5,8,M,Children & Young Adult,non-better
9,10,S,"Arts, Design & Photography",non-better
19,3,S,"Religion, Philosophy & Spirituality",better
12,8,S,"Health, Wellness & Lifestyle",better
-5,11,M,Children & Young Adult,non-better
14,9,L,"Religion, Philosophy & Spirituality",better
15,9,L,Business & Management,better
-4,3,S,"Religion, Philosophy & Spirituality",better
-3,9,L,Educational & Academic,non-better
-7,8,L,Others,non-better
-17,2,L,History & Culture,non-better
-18,0,M,Children & Young Adult,non-better
-10,14,L,History & Culture,better
-13,2,L,Children & Young Adult,better
3,4,M,Children & Young Adult,better
-1,11,S,"Health, Wellness & Lifestyle",better
-5,3,M,"Religion, Philosophy & Spirituality",non-better
19,4,S,Children & Young Adult,better
6,0,S,"Health, Wellness & Lifestyle",non-better
-5,8,S,Business & Management,non-better
-18,15,S,Educational & Academic,non-better
2,9,S,Educational & Academic,better
-8,12,M,Fiction & Literature,better
-3,11,L,"Religion, Philosophy & Spirituality",non-better
14,10,S,Business & Management,non-better
-9,8,S,Business & Management,non-better
2,10,M,Science & Technology,better
4,6,M,"Arts, Design & Photography",non-better
-20,6,M,History & Culture,better
1,10,L,Business & Management,non-better
12,9,L,History & Culture,non-better
5,9,L,Children & Young Adult,better
6,12,L,Children & Young Adult,non-better
5,0,M,Fiction & Literature,better
7,10,M,Others,non-better
-7,15,L,Children & Young Adult,better
-2,10,S,Educational & Academic,non-better
-6,6,S,"Arts, Design & Photography",better
-5,15,L,Business & Management,non-better
6,6,L,History & Culture,non-better
5,7,S,"Arts, Design & Photography",better
7,7,S,"Religion, Philosophy & Spirituality",non-better
-17,7,S,Others,better
9,10,M,Science & Technology,non-better
15,14,S,Others,non-better
-4,7,L,Fiction & Literature,non-better
20,7,M,Others,better
-2,7,M,"Health, Wellness & Lifestyle",non-better
14,2,S,Children & Young Adult,better
4,4,L,Educational & Academic,better
6,13,M,"Religion, Philosophy & Spirituality",non-better
